state_name,median_income_2021,median_income_2024,pct_change_income,medicare_cost_per_utilizer_2021
District of Columbia,64233.0,61812.0,-3.77,13905.0
West Virginia,234486.0,247880.0,5.71,10448.0
Iowa,357929.0,380845.0,6.4,10048.0
Mississippi,321780.0,344818.0,7.16,11706.0
Oklahoma,407813.0,437753.0,7.34,12160.0
South Dakota,99889.0,107254.0,7.37,10256.0
Oregon,486213.0,522158.0,7.39,9573.0
Tennessee,746747.0,803164.0,7.56,10354.0
Pennsylvania,1549851.0,1670372.0,7.78,11353.0
New York,2150241.0,2319319.0,7.86,14429.0
New Jersey,952112.0,1027618.0,7.93,13901.0
Ohio,1343392.0,1452533.0,8.12,11048.0
Louisiana,488544.0,529134.0,8.31,11995.0
Kentucky,487552.0,528114.0,8.32,10255.0
Illinois,1323777.0,1434880.0,8.39,12189.0
Alabama,563140.0,611532.0,8.59,11029.0
Montana,135400.0,147589.0,9.0,9449.0
Michigan,1160851.0,1269464.0,9.36,11315.0
Puerto Rico,451860.0,495198.0,9.59,7196.0
Nebraska,206167.0,226070.0,9.65,11182.0
Missouri,678244.0,744490.0,9.77,11201.0
Florida,2750027.0,3020141.0,9.82,12640.0
Connecticut,406385.0,446396.0,9.85,13587.0
California,3377602.0,3713165.0,9.93,14375.0
Minnesota,597695.0,657239.0,9.96,11005.0
Nevada,308476.0,339363.0,10.01,12896.0
Arkansas,327367.0,360301.0,10.06,10434.0
Hawaii,158386.0,174395.0,10.11,9372.0
Wisconsin,670745.0,739688.0,10.28,10039.0
Rhode Island,124034.0,136972.0,10.43,10772.0
Texas,2367162.0,2614303.0,10.44,13251.0
Kansas,307300.0,339508.0,10.48,11195.0
Washington,756952.0,836905.0,10.56,9750.0
Virginia,865610.0,957818.0,10.65,10372.0
Maryland,612418.0,677874.0,10.69,13722.0
South Carolina,601469.0,667861.0,11.04,10579.0
Massachusetts,741325.0,823493.0,11.08,12871.0
Georgia,959058.0,1067833.0,11.34,11318.0
Idaho,190120.0,211921.0,11.47,9576.0
Indiana,698612.0,778955.0,11.5,11188.0
North Carolina,1114731.0,1248012.0,11.96,10490.0
Alaska,59466.0,66642.0,12.07,11594.0
New Mexico,246773.0,277157.0,12.31,9553.0
Maine,185216.0,208234.0,12.43,10016.0
Arizona,814846.0,917646.0,12.62,10747.0
Colorado,542724.0,611451.0,12.66,10495.0
Utah,228621.0,258479.0,13.06,10735.0
Delaware,124872.0,141175.0,13.06,11994.0
New Hampshire,161423.0,184717.0,14.43,10575.0
Vermont,81486.0,93282.0,14.48,10030.0
North Dakota,78107.0,90915.0,16.4,10081.0
Wyoming,65022.0,76086.0,17.02,10804.0
